setting_id,calibration_quality,recall_at_1,uncertainty_rank_corr
fixed_sigma2|uncalibrated|scalar|highly_correlated,0.333333,0.723333,-0.000000
fixed_sigma2|uncalibrated|scalar|weakly_correlated,0.333333,0.733333,-0.000000
fixed_sigma2|uncalibrated|scalar|intentionally_divergent,0.333333,0.753333,-0.000000
fixed_sigma2|uncalibrated|diagonal|highly_correlated,0.333333,0.723333,-0.000000
fixed_sigma2|uncalibrated|diagonal|weakly_correlated,0.333333,0.733333,-0.000000
fixed_sigma2|uncalibrated|diagonal|intentionally_divergent,0.333333,0.753333,-0.000000
fixed_sigma2|uncalibrated|structured|highly_correlated,0.333333,0.733333,-0.000000
fixed_sigma2|uncalibrated|structured|weakly_correlated,0.333333,0.743333,-0.000000
fixed_sigma2|uncalibrated|structured|intentionally_divergent,0.333333,0.763333,-0.000000
fixed_sigma2|uncalibrated|correlation_aware|highly_correlated,0.333333,0.733333,-0.000000
fixed_sigma2|uncalibrated|correlation_aware|weakly_correlated,0.333333,0.743333,-0.000000
fixed_sigma2|uncalibrated|correlation_aware|intentionally_divergent,0.333333,0.763333,-0.000000
fixed_sigma2|calibrated|scalar|highly_correlated,0.300000,0.723333,-0.000000
fixed_sigma2|calibrated|scalar|weakly_correlated,0.300000,0.733333,-0.000000
fixed_sigma2|calibrated|scalar|intentionally_divergent,0.300000,0.753333,-0.000000
fixed_sigma2|calibrated|diagonal|highly_correlated,0.300000,0.723333,-0.000000
fixed_sigma2|calibrated|diagonal|weakly_correlated,0.300000,0.733333,-0.000000
fixed_sigma2|calibrated|diagonal|intentionally_divergent,0.300000,0.753333,-0.000000
fixed_sigma2|calibrated|structured|highly_correlated,0.300000,0.733333,-0.000000
fixed_sigma2|calibrated|structured|weakly_correlated,0.300000,0.743333,-0.000000
fixed_sigma2|calibrated|structured|intentionally_divergent,0.300000,0.763333,-0.000000
fixed_sigma2|calibrated|correlation_aware|highly_correlated,0.300000,0.733333,-0.000000
fixed_sigma2|calibrated|correlation_aware|weakly_correlated,0.300000,0.743333,-0.000000
fixed_sigma2|calibrated|correlation_aware|intentionally_divergent,0.300000,0.763333,-0.000000
learned_sigma2|uncalibrated|scalar|highly_correlated,0.125765,0.723333,-0.106262
learned_sigma2|uncalibrated|scalar|weakly_correlated,0.125765,0.733333,-0.106262
learned_sigma2|uncalibrated|scalar|intentionally_divergent,0.125765,0.753333,-0.106262
learned_sigma2|uncalibrated|diagonal|highly_correlated,0.125765,0.723333,-0.106262
learned_sigma2|uncalibrated|diagonal|weakly_correlated,0.125765,0.733333,-0.106262
learned_sigma2|uncalibrated|diagonal|intentionally_divergent,0.125765,0.753333,-0.106262
learned_sigma2|uncalibrated|structured|highly_correlated,0.125765,0.733333,-0.106262
learned_sigma2|uncalibrated|structured|weakly_correlated,0.125765,0.743333,-0.106262
learned_sigma2|uncalibrated|structured|intentionally_divergent,0.125765,0.763333,-0.106262
learned_sigma2|uncalibrated|correlation_aware|highly_correlated,0.125765,0.733333,-0.106262
learned_sigma2|uncalibrated|correlation_aware|weakly_correlated,0.125765,0.743333,-0.106262
learned_sigma2|uncalibrated|correlation_aware|intentionally_divergent,0.125765,0.763333,-0.106262
learned_sigma2|calibrated|scalar|highly_correlated,0.113189,0.723333,-0.106262
learned_sigma2|calibrated|scalar|weakly_correlated,0.113189,0.733333,-0.106262
learned_sigma2|calibrated|scalar|intentionally_divergent,0.113189,0.753333,-0.106262
learned_sigma2|calibrated|diagonal|highly_correlated,0.113189,0.723333,-0.106262
learned_sigma2|calibrated|diagonal|weakly_correlated,0.113189,0.733333,-0.106262
learned_sigma2|calibrated|diagonal|intentionally_divergent,0.113189,0.753333,-0.106262
learned_sigma2|calibrated|structured|highly_correlated,0.113189,0.733333,-0.106262
learned_sigma2|calibrated|structured|weakly_correlated,0.113189,0.743333,-0.106262
learned_sigma2|calibrated|structured|intentionally_divergent,0.113189,0.763333,-0.106262
learned_sigma2|calibrated|correlation_aware|highly_correlated,0.113189,0.733333,-0.106262
learned_sigma2|calibrated|correlation_aware|weakly_correlated,0.113189,0.743333,-0.106262
learned_sigma2|calibrated|correlation_aware|intentionally_divergent,0.113189,0.763333,-0.106262
embedding_norm_proxy|uncalibrated|scalar|highly_correlated,0.144798,0.723333,0.033710
embedding_norm_proxy|uncalibrated|scalar|weakly_correlated,0.144798,0.733333,0.033710
embedding_norm_proxy|uncalibrated|scalar|intentionally_divergent,0.144798,0.753333,0.033710
embedding_norm_proxy|uncalibrated|diagonal|highly_correlated,0.144798,0.723333,0.033710
embedding_norm_proxy|uncalibrated|diagonal|weakly_correlated,0.144798,0.733333,0.033710
embedding_norm_proxy|uncalibrated|diagonal|intentionally_divergent,0.144798,0.753333,0.033710
embedding_norm_proxy|uncalibrated|structured|highly_correlated,0.144798,0.733333,0.033710
embedding_norm_proxy|uncalibrated|structured|weakly_correlated,0.144798,0.743333,0.033710
embedding_norm_proxy|uncalibrated|structured|intentionally_divergent,0.144798,0.763333,0.033710
embedding_norm_proxy|uncalibrated|correlation_aware|highly_correlated,0.144798,0.733333,0.033710
embedding_norm_proxy|uncalibrated|correlation_aware|weakly_correlated,0.144798,0.743333,0.033710
embedding_norm_proxy|uncalibrated|correlation_aware|intentionally_divergent,0.144798,0.763333,0.033710
embedding_norm_proxy|calibrated|scalar|highly_correlated,0.130318,0.723333,0.033710
embedding_norm_proxy|calibrated|scalar|weakly_correlated,0.130318,0.733333,0.033710
embedding_norm_proxy|calibrated|scalar|intentionally_divergent,0.130318,0.753333,0.033710
embedding_norm_proxy|calibrated|diagonal|highly_correlated,0.130318,0.723333,0.033710
embedding_norm_proxy|calibrated|diagonal|weakly_correlated,0.130318,0.733333,0.033710
embedding_norm_proxy|calibrated|diagonal|intentionally_divergent,0.130318,0.753333,0.033710
embedding_norm_proxy|calibrated|structured|highly_correlated,0.130318,0.733333,0.033710
embedding_norm_proxy|calibrated|structured|weakly_correlated,0.130318,0.743333,0.033710
embedding_norm_proxy|calibrated|structured|intentionally_divergent,0.130318,0.763333,0.033710
embedding_norm_proxy|calibrated|correlation_aware|highly_correlated,0.130318,0.733333,0.033710
embedding_norm_proxy|calibrated|correlation_aware|weakly_correlated,0.130318,0.743333,0.033710
embedding_norm_proxy|calibrated|correlation_aware|intentionally_divergent,0.130318,0.763333,0.033710
entropy_proxy|uncalibrated|scalar|highly_correlated,0.125765,0.723333,-0.106262
entropy_proxy|uncalibrated|scalar|weakly_correlated,0.125765,0.733333,-0.106262
entropy_proxy|uncalibrated|scalar|intentionally_divergent,0.125765,0.753333,-0.106262
entropy_proxy|uncalibrated|diagonal|highly_correlated,0.125765,0.723333,-0.106262
entropy_proxy|uncalibrated|diagonal|weakly_correlated,0.125765,0.733333,-0.106262
entropy_proxy|uncalibrated|diagonal|intentionally_divergent,0.125765,0.753333,-0.106262
entropy_proxy|uncalibrated|structured|highly_correlated,0.125765,0.733333,-0.106262
entropy_proxy|uncalibrated|structured|weakly_correlated,0.125765,0.743333,-0.106262
entropy_proxy|uncalibrated|structured|intentionally_divergent,0.125765,0.763333,-0.106262
entropy_proxy|uncalibrated|correlation_aware|highly_correlated,0.125765,0.733333,-0.106262
entropy_proxy|uncalibrated|correlation_aware|weakly_correlated,0.125765,0.743333,-0.106262
entropy_proxy|uncalibrated|correlation_aware|intentionally_divergent,0.125765,0.763333,-0.106262
entropy_proxy|calibrated|scalar|highly_correlated,0.113189,0.723333,-0.106262
entropy_proxy|calibrated|scalar|weakly_correlated,0.113189,0.733333,-0.106262
entropy_proxy|calibrated|scalar|intentionally_divergent,0.113189,0.753333,-0.106262
entropy_proxy|calibrated|diagonal|highly_correlated,0.113189,0.723333,-0.106262
entropy_proxy|calibrated|diagonal|weakly_correlated,0.113189,0.733333,-0.106262
entropy_proxy|calibrated|diagonal|intentionally_divergent,0.113189,0.753333,-0.106262
entropy_proxy|calibrated|structured|highly_correlated,0.113189,0.733333,-0.106262
entropy_proxy|calibrated|structured|weakly_correlated,0.113189,0.743333,-0.106262
entropy_proxy|calibrated|structured|intentionally_divergent,0.113189,0.763333,-0.106262
entropy_proxy|calibrated|correlation_aware|highly_correlated,0.113189,0.733333,-0.106262
entropy_proxy|calibrated|correlation_aware|weakly_correlated,0.113189,0.743333,-0.106262
entropy_proxy|calibrated|correlation_aware|intentionally_divergent,0.113189,0.763333,-0.106262
confidence_proxy|uncalibrated|scalar|highly_correlated,0.253014,0.723333,-0.021559
confidence_proxy|uncalibrated|scalar|weakly_correlated,0.253014,0.733333,-0.021559
confidence_proxy|uncalibrated|scalar|intentionally_divergent,0.253014,0.753333,-0.021559
confidence_proxy|uncalibrated|diagonal|highly_correlated,0.253014,0.723333,-0.021559
confidence_proxy|uncalibrated|diagonal|weakly_correlated,0.253014,0.733333,-0.021559
confidence_proxy|uncalibrated|diagonal|intentionally_divergent,0.253014,0.753333,-0.021559
confidence_proxy|uncalibrated|structured|highly_correlated,0.253014,0.733333,-0.021559
confidence_proxy|uncalibrated|structured|weakly_correlated,0.253014,0.743333,-0.021559
confidence_proxy|uncalibrated|structured|intentionally_divergent,0.253014,0.763333,-0.021559
confidence_proxy|uncalibrated|correlation_aware|highly_correlated,0.253014,0.733333,-0.021559
confidence_proxy|uncalibrated|correlation_aware|weakly_correlated,0.253014,0.743333,-0.021559
confidence_proxy|uncalibrated|correlation_aware|intentionally_divergent,0.253014,0.763333,-0.021559
confidence_proxy|calibrated|scalar|highly_correlated,0.227712,0.723333,-0.021559
confidence_proxy|calibrated|scalar|weakly_correlated,0.227712,0.733333,-0.021559
confidence_proxy|calibrated|scalar|intentionally_divergent,0.227712,0.753333,-0.021559
confidence_proxy|calibrated|diagonal|highly_correlated,0.227712,0.723333,-0.021559
confidence_proxy|calibrated|diagonal|weakly_correlated,0.227712,0.733333,-0.021559
confidence_proxy|calibrated|diagonal|intentionally_divergent,0.227712,0.753333,-0.021559
confidence_proxy|calibrated|structured|highly_correlated,0.227712,0.733333,-0.021559
confidence_proxy|calibrated|structured|weakly_correlated,0.227712,0.743333,-0.021559
confidence_proxy|calibrated|structured|intentionally_divergent,0.227712,0.763333,-0.021559
confidence_proxy|calibrated|correlation_aware|highly_correlated,0.227712,0.733333,-0.021559
confidence_proxy|calibrated|correlation_aware|weakly_correlated,0.227712,0.743333,-0.021559
confidence_proxy|calibrated|correlation_aware|intentionally_divergent,0.227712,0.763333,-0.021559
randomized_uncertainty_control|uncalibrated|scalar|highly_correlated,0.252414,0.723333,-0.017076
randomized_uncertainty_control|uncalibrated|scalar|weakly_correlated,0.252414,0.733333,-0.017076
randomized_uncertainty_control|uncalibrated|scalar|intentionally_divergent,0.252414,0.753333,-0.017076
randomized_uncertainty_control|uncalibrated|diagonal|highly_correlated,0.252414,0.723333,-0.017076
randomized_uncertainty_control|uncalibrated|diagonal|weakly_correlated,0.252414,0.733333,-0.017076
randomized_uncertainty_control|uncalibrated|diagonal|intentionally_divergent,0.252414,0.753333,-0.017076
randomized_uncertainty_control|uncalibrated|structured|highly_correlated,0.252414,0.733333,-0.017076
randomized_uncertainty_control|uncalibrated|structured|weakly_correlated,0.252414,0.743333,-0.017076
randomized_uncertainty_control|uncalibrated|structured|intentionally_divergent,0.252414,0.763333,-0.017076
randomized_uncertainty_control|uncalibrated|correlation_aware|highly_correlated,0.252414,0.733333,-0.017076
randomized_uncertainty_control|uncalibrated|correlation_aware|weakly_correlated,0.252414,0.743333,-0.017076
randomized_uncertainty_control|uncalibrated|correlation_aware|intentionally_divergent,0.252414,0.763333,-0.017076
randomized_uncertainty_control|calibrated|scalar|highly_correlated,0.227172,0.723333,-0.017076
randomized_uncertainty_control|calibrated|scalar|weakly_correlated,0.227172,0.733333,-0.017076
randomized_uncertainty_control|calibrated|scalar|intentionally_divergent,0.227172,0.753333,-0.017076
randomized_uncertainty_control|calibrated|diagonal|highly_correlated,0.227172,0.723333,-0.017076
randomized_uncertainty_control|calibrated|diagonal|weakly_correlated,0.227172,0.733333,-0.017076
randomized_uncertainty_control|calibrated|diagonal|intentionally_divergent,0.227172,0.753333,-0.017076
randomized_uncertainty_control|calibrated|structured|highly_correlated,0.227172,0.733333,-0.017076
randomized_uncertainty_control|calibrated|structured|weakly_correlated,0.227172,0.743333,-0.017076
randomized_uncertainty_control|calibrated|structured|intentionally_divergent,0.227172,0.763333,-0.017076
randomized_uncertainty_control|calibrated|correlation_aware|highly_correlated,0.227172,0.733333,-0.017076
randomized_uncertainty_control|calibrated|correlation_aware|weakly_correlated,0.227172,0.743333,-0.017076
randomized_uncertainty_control|calibrated|correlation_aware|intentionally_divergent,0.227172,0.763333,-0.017076
